314.84,0
315.18,0
315.68,0
314.59,0
315.36,0
315.87,0
315.43,0
315.29,0
314.68,0
314.76,0
314.86,0
315.18,0
315.31,0
315.31,0
315.38,0
316.19,0
314.73,0
315.51,0
315.71,0
315.23,0
316.66,-0.05
315.97,-0.05
315.76,-0.05
315.22,-0.05
314.89,-0.05
314.84,-0.05
314.72,-0.05
314.86,-0.05
315.03,-0.05
315.5,-0.05
315.21,-0.05
314.74,-0.05
314.84,-0.05
314.84,-0.05
314.02,-0.05
314.86,-0.05
315.59,-0.05
315.27,-0.05
315.31,-0.05
314.8,-0.05
314.14,-0.05
314.28,-0.05
314.61,-0.05
315.3,-0.05
315.24,-0.05
314.58,-0.05
315.29,-0.05
315.13,-0.05
314.84,-0.05
314.58,-0.05
315.02,-0.05
314.65,-0.05
314.93,-0.05
315.35,-0.05
315.08,-0.05
315.41,-0.05
315.07,-0.05
315.56,-0.05
315.18,-0.05
315.13,-0.05
314.65,-0.05
314.8,-0.05
314.26,-0.05
314.71,-0.05
314.41,-0.05
315.55,-0.05
315.17,-0.05
315.64,-0.05
314.97,-0.05
315.28,-0.05
314.55,-0.05
314.64,-0.05
314.19,-0.05
